lot_tag,auct_type,object_type,cadastr_num,addr_string,addr_street,addr_build_num,addr_floor_from_title,addr_apart_num_from_title,flat_num,qty_rooms,addr_floor,total_floors,obj_square,start_price,start_price_m2,deposit,auct_step,auct_form,start_applications_date,finish_application_date,participant_selection_date,bidding_date,results_date,roseltorg_url,torgi_url,metro_station,inf_sales,inf_food_service,inf_education,inf_cult_and_sport,inf_consumer_services,inf_health_care,documentation_expl,documentation_photo,investmoscow_url
#ГП16920909,Продажа,Квартира,77:05:0008005:13193,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 3, кв. 176",,,,,176,1,3,24,42.2,11169032,264669.0,223380,22338,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009610,https://torgi.gov.ru/new/public/notices/view/21000005000000009610,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860107
#ГП16920905,Продажа,Квартира,77:05:0008005:13189,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 2, кв. 172",,,,,172,1,2,24,43.4,11486635,264669.01,229732,22973,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009609,https://torgi.gov.ru/new/public/notices/view/21000005000000009609,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860085
#ГП16920979,Продажа,Квартира,77:05:0008005:13261,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 18, кв. 237",,,,,237,2,18,24,57.6,15939302,276723.99,318786,31878,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009623,https://torgi.gov.ru/new/public/notices/view/21000005000000009623,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861750
#ГП16920977,Продажа,Квартира,77:05:0008005:13257,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 17, кв. 233",,,,,233,2,17,24,57.4,15883958,276724.01,317679,31767,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009621,https://torgi.gov.ru/new/public/notices/view/21000005000000009621,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861718
#ГП16920964,Продажа,Квартира,77:05:0008005:13530,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 2, кв. 48",,,,,48,3,2,24,80.9,19804239,244799.0,396084,39608,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009585,https://torgi.gov.ru/new/public/notices/view/21000005000000009585,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861276
#ГП16920969,Продажа,Квартира,77:05:0008005:13550,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 8, кв. 66",,,,,66,3,8,24,79.3,19994940,252143.0,399898,39989,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009588,https://torgi.gov.ru/new/public/notices/view/21000005000000009588,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861168
#ГП16920963,Продажа,Квартира,77:05:0008005:13299,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 6, кв. 271",,,,,271,1,6,24,42.2,11504100,272609.0,230082,23008,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009631,https://torgi.gov.ru/new/public/notices/view/21000005000000009631,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860950
#ГП16920940,Продажа,Квартира,77:05:0008005:13109,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 2, кв. 99",,,,,99,1,2,24,43.3,11460168,264669.01,229203,22920,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009597,https://torgi.gov.ru/new/public/notices/view/21000005000000009597,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860425
#ГП16920920,Продажа,Квартира,77:05:0008005:13205,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 6, кв. 187",,,,,187,1,6,24,42.2,11504100,272609.0,230082,23008,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009614,https://torgi.gov.ru/new/public/notices/view/21000005000000009614,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860241
#ГП16920915,Продажа,Квартира,77:05:0008005:13136,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 8, кв. 124",,,,,124,2,8,24,57.6,15061882,261491.01,301237,30123,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009600,https://torgi.gov.ru/new/public/notices/view/21000005000000009600,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860215
#ГП16920914,Продажа,Квартира,77:05:0008005:13198,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 4, кв. 180",,,,,180,1,4,24,42.2,11169032,264669.0,223380,22338,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009611,https://torgi.gov.ru/new/public/notices/view/21000005000000009611,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860115
#ГП16920978,Продажа,Квартира,77:05:0008005:13259,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 18, кв. 235",,,,,235,1,18,24,42.0,12116538,288489.0,242330,24233,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009622,https://torgi.gov.ru/new/public/notices/view/21000005000000009622,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861741
#ГП16920976,Продажа,Квартира,77:05:0008005:13255,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 17, кв. 231",,,,,231,1,17,24,41.9,12087689,288489.0,241753,24175,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009620,https://torgi.gov.ru/new/public/notices/view/21000005000000009620,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861674
#ГП16920961,Продажа,Квартира,77:05:0008005:13529,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 2, кв. 47",,,,,47,3,2,24,84.0,20563116,244799.0,411262,41126,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009584,https://torgi.gov.ru/new/public/notices/view/21000005000000009584,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861218
#ГП16920953,Продажа,Квартира,77:05:0008005:13291,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 4, кв. 264",,,,,264,1,4,24,42.2,11169032,264669.0,223380,22338,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009627,https://torgi.gov.ru/new/public/notices/view/21000005000000009627,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860858
#ГП16920928,Продажа,Квартира,77:05:0008005:13168,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 16, кв. 153",,,,,153,2,16,24,54.9,15192148,276724.01,303842,30384,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009605,https://torgi.gov.ru/new/public/notices/view/21000005000000009605,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860239
#ГП16920908,Продажа,Квартира,77:05:0008005:13563,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 12, кв. 78",,,,,78,3,12,24,78.9,20280377,257039.0,405607,40560,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009591,https://torgi.gov.ru/new/public/notices/view/21000005000000009591,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860152
#ГП16920971,Продажа,Квартира,77:05:0008005:13231,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 11, кв. 209",,,,,209,2,11,24,57.7,15527532,269108.01,310550,31055,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009616,https://torgi.gov.ru/new/public/notices/view/21000005000000009616,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861588
#ГП16920967,Продажа,Квартира,77:05:0008005:13544,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 6, кв. 60",,,,,60,3,6,24,79.3,19994940,252143.0,399898,39989,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009586,https://torgi.gov.ru/new/public/notices/view/21000005000000009586,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861210
#ГП16920952,Продажа,Квартира,77:05:0008005:13290,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 4, кв. 263",,,,,263,1,4,24,42.3,11195499,264669.01,223909,22391,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009626,https://torgi.gov.ru/new/public/notices/view/21000005000000009626,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860780
#ГП16920930,Продажа,Квартира,77:05:0008005:13580,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 17, кв. 93",,,,,93,3,17,24,79.3,20965572,264383.0,419311,41931,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009596,https://torgi.gov.ru/new/public/notices/view/21000005000000009596,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860414
#ГП16920934,Продажа,Квартира,77:05:0008005:13178,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 18, кв. 162",,,,,162,1,18,24,42.3,12203085,288489.01,244061,24406,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009607,https://torgi.gov.ru/new/public/notices/view/21000005000000009607,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860258
#ГП16920932,Продажа,Квартира,77:05:0008005:13176,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 17, кв. 160",,,,,160,2,17,24,57.7,15966975,276724.0,319339,31933,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009606,https://torgi.gov.ru/new/public/notices/view/21000005000000009606,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860248
#ГП16920912,Продажа,Квартира,77:05:0008005:13565,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 13, кв. 79",,,,,79,3,13,24,79.1,20331785,257039.0,406635,40663,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009592,https://torgi.gov.ru/new/public/notices/view/21000005000000009592,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860155
#ГП16920904,Продажа,Квартира,Не указано,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 20, кв. 169",,,,,,,,,57.7,15966975,276724.0,319339,31933,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009608,https://torgi.gov.ru/new/public/notices/view/21000005000000009608,,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860057
#ГП16911216,Продажа,Квартира,77:07:0002003:16621,"Береговой проезд, дом 1Б, этаж 6, кв. 641",,,,,641,3,6,28,97.8,29222542,298799.0,584450,58445,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008450,https://torgi.gov.ru/new/public/notices/view/21000005000000008450,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18923019
#ГП16911195,Продажа,Квартира,77:07:0002003:16625,"Береговой проезд, дом 1Б, этаж 7, кв. 645",,,,,645,3,7,28,104.3,31164736,298799.0,623294,62329,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008457,https://torgi.gov.ru/new/public/notices/view/21000005000000008457,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922937
#ГП16913414,Продажа,Квартира,77:07:0002003:16731,"Береговой проезд, дом 1Б, этаж 12, кв. 740",,,,,740,3,12,28,130.1,32666939,251091.0,653338,65333,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008444,https://torgi.gov.ru/new/public/notices/view/21000005000000008444,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922581
#ГП16913427,Продажа,Квартира,77:07:0002003:16675,"Береговой проезд, дом 1Б, этаж 6, кв. 690",,,,,690,4,6,28,132.3,36550521,276270.0,731010,73101,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008493,https://torgi.gov.ru/new/public/notices/view/21000005000000008493,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922321
#ГП16911190,Продажа,Квартира,77:07:0002003:16624,"Береговой проезд, дом 1Б, этаж 7, кв. 644",,,,,644,3,7,28,97.7,29192662,298799.0,583853,58385,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008455,https://torgi.gov.ru/new/public/notices/view/21000005000000008455,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922988
#ГП16911198,Продажа,Квартира,77:07:0002003:16627,"Береговой проезд, дом 1Б, этаж 8, кв. 647",,,,,647,3,8,28,98.1,29312182,298799.0,586243,58624,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008460,https://torgi.gov.ru/new/public/notices/view/21000005000000008460,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922888
#ГП16911201,Продажа,Квартира,77:07:0002003:16615,"Береговой проезд, дом 1Б, этаж 4, кв. 636",,,,,636,3,4,28,104.6,30609935,292638.0,612198,61219,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008445,https://torgi.gov.ru/new/public/notices/view/21000005000000008445,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922818
#ГП16911204,Продажа,Квартира,77:07:0002003:16670,"Береговой проезд, дом 1Б, этаж 6, кв. 686",,,,,686,3,6,28,131.4,32003653,243559.0,640073,64007,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008483,https://torgi.gov.ru/new/public/notices/view/21000005000000008483,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922688
#ГП16912595,Продажа,Квартира,77:07:0002003:16725,"Береговой проезд, дом 1Б, этаж 11, кв. 735",,,,,735,4,11,28,130.7,37225321,284815.0,744506,74450,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008449,https://torgi.gov.ru/new/public/notices/view/21000005000000008449,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922687
#ГП16912591,Продажа,Квартира,77:07:0002003:16660,"Береговой проезд, дом 1Б, этаж 5, кв. 677",,,,,677,3,5,28,131.5,31367616,238537.0,627352,62735,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008478,https://torgi.gov.ru/new/public/notices/view/21000005000000008478,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922662
#ГП16912589,Продажа,Квартира,77:07:0002003:16650,"Береговой проезд, дом 1Б, этаж 4, кв. 668",,,,,668,3,4,28,131.2,31296054,238537.0,625921,62592,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008471,https://torgi.gov.ru/new/public/notices/view/21000005000000008471,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922462
#ГП16912573,Продажа,Квартира,77:07:0002003:16701,"Береговой проезд, дом 1Б, этаж 9, кв. 713",,,,,713,3,9,28,131.9,32125432,243559.0,642508,64250,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008479,https://torgi.gov.ru/new/public/notices/view/21000005000000008479,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922420
#ГП16912586,Продажа,Квартира,77:07:0002003:16641,"Береговой проезд, дом 1Б, этаж 3, кв. 659",,,,,659,3,3,28,130.6,31152932,238537.0,623058,62305,Открытый аукцион в электронной форме,2023-02-20,2023-10-18,2023-10-24,2023-10-25,2023-10-26,https://www.roseltorg.ru/procedure/21000005000000008467,https://torgi.gov.ru/new/public/notices/view/21000005000000008467,Фили,93,43,18,17,32,,,,https://investmoscow.ru/tenders/tender/18922399
