addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,metro_station_winner,metro_minutes_winner
"ЖК ""Level Южнопортовая""",,1,22,23,20.9,6539529,312896.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 89540106",6,Кожуховская м.,14
"Коммунарка пос., ЖК ""Скандинавия""",,4,11,16,72.9,16935732,232315.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",9,,-1
"ЖК ""Остров""",,4,9,21,133.2,57758184,433620.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",7,Терехово м.,13
"ЖК ""Остров""",,4,3,9,134.8,110185520,817400.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",11,Терехово м.,3
"Донецкая ул., 1",,1,13,13,27.4,11669080,425879.0,2023-11-20,0,"Застройщик Группа Самолет, CIAN ID 44992355",6,Курьяново метро (МЦД-2),9
"ЖК ""Перовское 2""",,1,25,26,25.4,10687703,420776.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Нижегородская м.,7
"ЖК ""Воксхалл""",,1,2,25,25.4,14591915,574485.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100125764",51,Павелецкая м.,12
"ЖК ""Дмитровское небо""",,2,17,23,66.0,19927653,301934.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",6,Селигерская м.,8
"Волоколамское ш., 71к9",,1,18,24,24.2,11762845,486068.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",7,Спартак м.,5
"Обручева ул., 1",,1,5,58,25.3,11694368,462228.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",36,Калужская м.,7
"Обручева ул., 1",,2,32,58,59.5,26497551,445337.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",12,Калужская м.,7
"ЖК ""Театральный квартал""",,2,10,24,60.0,26280000,438000.0,2023-11-20,0,"Застройщик Концерн КРОСТ, CIAN ID 27248779",6,Октябрьское поле м.,14
"Филимонковское поселение, ЖК ""Марьино Град"", К1",,3,13,17,59.6,11263921,188992.0,2023-11-20,0,"Застройщик Группа Самолет, CIAN ID 44992355",6,,-1
ЖК «Волжский парк»,,2,3,17,44.1,13214082,299639.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",36,Новохохловская метро (МЦД-2),11
"ЖК ""Матвеевский парк""",,1,27,34,23.8,11553314,485433.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""Кольская 8""",,3,10,25,51.2,19743876,385623.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Свиблово м.,6
"ЖК ""Vangarden (Вангарден)""",,2,15,21,60.4,24761853,409964.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",40,Аминьевская м.,13
"Московский поселение, Картмазовские Пруды ул., 2к1",,3,6,22,96.0,18000000,187500.0,2023-11-20,0,"Агентство Юрмаст, Агент Екатерина Васильева, CIAN ID 21808433",41,,-1
"ЖК ""Green park (Грин парк)""",,2,9,22,61.8,26237433,424554.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"Архитектора Щусева ул., 4к1",,2,4,16,65.3,26449256,405042.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",32,ЗИЛ м. (МЦК),15
"ЖК ""Кольская 8""",,2,10,15,32.3,13697377,424067.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",11,Свиблово м.,6
"Яна Райниса бул., 10",,3,7,9,56.5,15500000,274336.0,2023-11-20,0,"Частный маклер Сергей Титов, CIAN ID 103656569",63,Сходненская м.,10
"Десеновское поселение, Новые Ватутинки Центральный мкр, ЖК ""Новые Ватутинки. Микрорайон Центральный""",,2,6,14,60.3,13495140,223800.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",7,,-1
"ЖК ""Will Towers""",,2,9,23,65.7,26266926,399801.0,2023-11-20,0,"Застройщик Группа Аквилон, CIAN ID 105585536",6,Зорге м. (МЦК),2
"Причальный пр-д, 10",,2,4,33,64.5,25950000,402326.0,2023-11-20,0,"Агентство МИЭЛЬ, МИЭЛЬ офис Таганский, CIAN ID 17276518",31,Шелепиха м.,12
"ЖК ""Алтуфьевское 53""",,1,16,33,20.1,7269719,361678.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""Полар""",,1,27,50,34.7,10229405,294796.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""Событие""",,2,5,49,77.4,30021293,387872.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",6,Мичуринский проспект м.,11
"Ямская 1-я ул., 4",,3,5,6,118.2,85000000,719120.0,2023-11-20,0,"Агентство Delight Realty, Агент Илона Дасаева, CIAN ID 70955192",312,Марьина Роща м.,5
"ЖК ""Мякинино парк""",,2,21,30,46.4,26286243,566514.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",7,Кунцевская м.,11
"Полярная ул., 41С2",,1,3,45,35.7,10737256,300763.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""MyPriority Basmanny"", Почтовая Малая ул.",,2,4,19,41.7,24262549,581836.0,2023-11-20,0,"Консультант Циан, CIAN ID 52395145",6,Бауманская м.,9
"Профсоюзная ул., 85К1",,3,6,9,64.0,21000000,328125.0,2023-11-20,0,CIAN ID 337671,33,Беляево м.,1
"Лихачёва просп., 22",,2,7,35,64.6,30259814,468418.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100103053",8,Технопарк м.,11
"Текстильщиков 11-я ул., 11",,3,9,14,72.2,17900000,247922.0,2023-11-20,0,"Агент Олег Дягилев, CIAN ID 91294383",61,Текстильщики м.,8
"Красногорский 3-й пр-д, 5",,2,23,30,61.0,24000000,393443.0,2023-11-20,0,"Агентство Метр солнца, CIAN ID 15139869",12,Ленинградская метро (МЦД-2),6
"Коммунарка пос., ЖК ""Скандинавия""",,4,3,16,94.2,21561070,228886.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",44,,-1
"Десеновское поселение, Новые Ватутинки Центральный мкр, ЖК ""Новые Ватутинки. Микрорайон Центральный""",,1,4,14,39.8,9026640,226800.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",7,,-1
"Обручева ул., 1",,2,5,58,60.5,23423724,387169.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",50,Калужская м.,7
"ЖК ""Преображенская площадь""",,3,14,17,124.5,59684961,479397.0,2023-11-20,0,"Застройщик Regions Development, CIAN ID 97676633",6,Преображенская площадь м.,5
"Обручева ул., 1",,2,3,58,69.3,24766087,357375.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",51,Калужская м.,7
"ЖК ""Полар""",,1,11,14,34.0,12129113,356739.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""Кольская 8""",,2,4,15,34.2,14897225,435591.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",44,Свиблово м.,6
"Прокшино д., ЖК ""Прокшино""",,2,15,18,44.4,13473815,303464.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",7,Прокшино м.,14
"Часовая ул., 28к8",,2,21,25,68.5,28160350,411100.0,2023-11-20,0,"Застройщик FORMA, CIAN ID 82877895",14,Красный Балтиец метро (МЦД-2),6
"Полярная ул., 41С2",,1,40,45,25.1,8468596,337394.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"Прокшино д., ЖК ""Прокшино""",,4,2,16,64.6,15896282,246072.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",73,Прокшино м.,11
"ЖК ""Преображенская площадь""",,3,5,17,99.4,43161872,434224.0,2023-11-20,0,"Застройщик Regions Development, CIAN ID 97676633",10,Преображенская площадь м.,4
"Коммунарка пос., Скандинавский бул., 1к2",,3,7,12,56.0,16500000,294643.0,2023-11-20,0,"Агентство CENTURY 21, Агент Анна Ботова, CIAN ID 107632910",31,,-1
"ЖК ""Will Towers""",,2,6,28,57.8,26165020,452682.0,2023-11-20,0,"Застройщик Группа Аквилон, CIAN ID 105585536",6,Зорге м. (МЦК),5
"ЖК ""Преображенская площадь""",,3,17,17,88.0,47453216,539241.0,2023-11-20,0,"Застройщик Regions Development, CIAN ID 97676633",7,Преображенская площадь м.,4
"ЖК ""Преображенская площадь""",,3,16,17,97.5,46685921,478830.0,2023-11-20,0,"Застройщик Regions Development, CIAN ID 97676633",9,Преображенская площадь м.,6
"Рязановское поселение, ЖК ""Алхимово""",,4,6,15,71.5,9600000,134266.0,2023-11-20,0,"Агентство Макспол Парк Культуры, Агент Степан Полянов, CIAN ID 107145220",27,,-1
"ЖК ""LIFE-Варшавская""",,2,8,12,70.2,21000000,299145.0,2023-11-20,0,"Агентство СОЗВЕЗДИЕ 54, CIAN ID 104921015",44,,-1
"Пречистенская наб., 5",,3,2,5,219.0,546506528,2495464.0,2023-11-20,0,"Агентство FS PROPERTY, Агент FSP Запад, CIAN ID 75018295",17,Парк культуры м.,7
"Обручева ул., 1",,1,29,58,59.6,31528757,529006.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",20,Калужская м.,7
"Сосенское поселение, Прокшинский просп., 9",,4,14,19,86.0,18750000,218023.0,2023-11-20,0,"Агентство Юград, Агент Сергей Юдаев, CIAN ID 6111166",43,,-1
"Рязановское поселение, Уточкина ул., 5к2",,2,6,13,48.8,16000000,327869.0,2023-11-20,0,"Агентство Elite, CIAN ID 82793576",34,,-1
"ЖК ""Шагал""",,2,27,28,82.3,37898809,460496.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100125764",19,,-1
"Римского-Корсакова ул., 11к3",,1,9,24,37.8,12605704,333484.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",8,,-1
"ЖК ""Символ""",,1,11,27,43.5,17309050,397909.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",8,Площадь Ильича м.,12
"ЖК ""Остров""",,2,12,13,80.7,33605901,416430.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",6,Терехово м.,13
"Московский г., Первый Московский мкр, Бианки ул., 1",,2,19,21,61.0,15747046,258148.0,2023-11-20,0,"Застройщик Абсолют Недвижимость, CIAN ID 69310994",42,,-1
"ЖК ""Символ""",,1,15,27,28.9,13416837,464250.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",6,Площадь Ильича м.,12
"Богословский пер., 12А",,3,2,8,132.6,338670060,2554073.0,2023-11-20,0,"Агентство BELFORT, Агент Арман Сергеев, CIAN ID 99397342",89,Тверская м.,6
"Чапаевский пер., 3",,4,15,57,226.1,110000000,486510.0,2023-11-20,0,"Агентство SKOLKOVO НЕДВИЖИМОСТЬ, Агент Владимир Пелевин, CIAN ID 99987417",13,Аэропорт м.,10
"Филевский бул., 35",,5,5,17,124.7,34999000,280666.0,2023-11-20,0,"Агентство Качанова и партнеры, Агент Ирина Поварухина, CIAN ID 13067953",207,,-1
"Озерная ул., 42С7",,3,12,30,60.8,21390000,351809.0,2023-11-20,0,"Застройщик ГК Страна Девелопмент, CIAN ID 103719092",6,Озерная м.,8
"Внуковское поселение, ЖК ""Городские истории (Рассказовка)""",,3,2,19,86.6,19931212,230153.0,2023-11-20,0,CIAN ID 65341553,17,Рассказовка м.,9
"ЖК ""Новое Очаково""",,1,32,33,23.0,8800000,382609.0,2023-11-20,0,"Агентство Техносервис, Агент Александр Павлов, CIAN ID 19304462",10,,-1
"Самотечный 2-й пер., 1",,3,6,6,96.0,95000000,989583.0,2023-11-20,0,"Агентство ГОРОДА, Агент Светлана Ботунова, CIAN ID 104957716",7,Достоевская м.,8
"Коммунарка пос., Бачуринская ул., 7К2",,1,10,17,25.9,8970000,346332.0,2023-11-20,0,"Агентство Этажи Москва, Агент Гущин Сергей Александрович, CIAN ID 107197380",15,,-1
"Годовикова ул., 11к5",,3,3,37,100.7,39683680,394078.0,2023-11-20,0,"Застройщик КОРТРОС, CIAN ID 88014230",7,Алексеевская м.,13
"Базовская ул., 15Бк2",,1,25,33,32.6,11500000,352761.0,2023-11-20,0,"Агентство На Петровке, Агент Юлия Васильева, CIAN ID 91510431",31,,-1
"ЖК ""LIFE-Варшавская""",,1,11,25,25.5,11203603,439357.0,2023-11-20,0,"Застройщик Компания Пионер, CIAN ID 103723161",15,Варшавская м.,14
ЖК «Нагатино Ай-Ленд»,,3,15,35,96.4,37155673,385432.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100103053",55,Технопарк м.,14
"Годовикова ул., 11к5",,2,26,37,74.2,35041280,472254.0,2023-11-20,0,"Застройщик КОРТРОС, CIAN ID 88014230",19,Алексеевская м.,13
"Ломоносовский просп., 25К2",,4,5,22,156.0,93500000,599359.0,2023-11-20,0,"Агентство Premium Realty, Агент Сергей Ушаков, CIAN ID 108681218",6,Университет м.,5
"ЖК ""Ютаново""",,1,14,33,32.3,12671953,392321.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",7,Красный Строитель метро (МЦД-2),6
"Перовское ш., 2к2",,1,21,33,42.1,13200000,313539.0,2023-11-20,0,"Агентство Простор-недвижимость, Агент Татьяна Перегудова, CIAN ID 107444020",31,Нижегородская м.,10
"Московский г., Первый Московский мкр, Никитина ул., 4",,3,20,22,75.2,15043281,200044.0,2023-11-20,0,"Застройщик Абсолют Недвижимость, CIAN ID 69310994",33,,-1
"ЖК ""Ютаново""",,1,12,33,42.3,12620310,298352.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",14,Красный Строитель метро (МЦД-2),3
"ЖК ""Роттердам""",,3,8,29,77.9,40652738,521858.0,2023-11-20,0,"Застройщик ГК ФСК, CIAN ID 18400645",33,Нагатинская м.,12
"ЖК ""Светлый мир Станция Л""",,1,2,25,41.8,11265977,269521.0,2023-11-20,0,"Застройщик Seven Suns Development, CIAN ID 106096534",7,,-1
"ЖК ""Хедлайнер""",,2,49,51,81.9,38281970,467423.0,2023-11-20,0,"Представитель застройщика БСА, CIAN ID 92162803",12,Шелепиха м.,6
"Маршала Тимошенко ул., 17К2",,3,16,19,108.5,44499000,410129.0,2023-11-20,0,"Агентство ИНФИНИТИ, Агент Тимур Хайрутдинов, CIAN ID 107193820",35,Крылатское м.,15
"Рязановское поселение, Уточкина ул., 5к2",,2,7,13,42.5,14400000,338824.0,2023-11-20,0,"Агентство ГЕФЕСТ, CIAN ID 85341332",33,,-1
"Новокузьминская 4-я ул., 5",,3,5,9,58.0,13900000,239655.0,2023-11-20,0,CIAN ID 60325,7,Рязанский проспект м.,11
"Покровка ул., 35/17С1",,5,4,6,166.8,90000000,539568.0,2023-11-20,0,"Агентство На Петровке, Агент Анна Волонкина, CIAN ID 108594250",7,Курская м.,9
"Коробейников пер., 1",,4,2,6,249.0,350000000,1405622.0,2023-11-20,0,"Агентство Eightmix Property, Агент Алексей Ковалев, CIAN ID 106895958",7,Парк культуры м.,7
"Первомайская Верхняя ул., 2/32",,2,5,5,55.0,17000000,309091.0,2023-11-20,0,"Собственник, CIAN ID 87355659",6,Первомайская м.,15
"Академика Варги ул., 2",,3,7,9,67.6,13699000,202648.0,2023-11-20,0,"Агентство Самолет Плюс Москва ЦАО, Агент Сергей Мелентьев, CIAN ID 105169012",55,,-1
"Огородный пр-д, 4С1",,1,47,55,43.2,18923934,438054.0,2023-11-20,0,"Застройщик Upside Development, CIAN ID 34805758",6,Бутырская м.,2
"Фестивальная ул., 15к24/3",,3,35,35,90.8,33500000,368943.0,2023-11-20,0,CIAN ID 308001,36,Речной вокзал м.,6
"ЖК ""WAVE (Вейв)""",,1,18,52,33.9,12596042,371565.0,2023-11-20,0,"Консультант Циан, CIAN ID 47919092",6,,-1
"ЖК ""Остров""",,2,13,16,73.4,34034112,463680.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",6,Терехово м.,3
"ЖК ""Новое Очаково""",,1,20,33,36.2,12593487,347886.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",7,,-1
"Коммунарка пос., ЖК ""Скандинавия""",,1,9,16,37.6,11896903,316407.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",15,,-1
"Открытое ш., 14Д",,2,17,29,40.0,16000000,400000.0,2023-11-20,0,"Собственник, CIAN ID 59534798",14,Бульвар Рокоссовского м.,4
"Нижние Мневники ул., 35",,2,9,13,80.5,40282200,500400.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",6,Терехово м.,13
"ЖК ""LIFE-Варшавская""",,1,8,25,33.6,12540795,373238.0,2023-11-20,0,"Застройщик Компания Пионер, CIAN ID 103723161",7,Варшавская м.,14
"ЖК ""Остров""",,2,12,21,75.3,38527245,511650.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",6,Терехово м.,15
"Нижние Мневники ул., 35",,3,7,13,77.7,38902059,500670.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",31,Терехово м.,13
"Оболенский пер., 9К3",,3,3,6,84.0,41000000,488095.0,2023-11-20,0,CIAN ID 90172089,25,Фрунзенская м.,7
"ЖК ""Амурский парк""",,1,25,33,32.3,12609449,390385.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",7,Черкизовская м.,9
"ЖК ""Новое Очаково""",,2,5,33,48.4,15000000,309917.0,2023-11-20,0,"Собственник, CIAN ID 81451559",6,Очаково м. (МЦД-4),2
"ЖК ""Матвеевский парк""",,1,1,33,40.7,17990000,442015.0,2023-11-20,0,"Собственник, CIAN ID 70992197",46,Аминьевская м.,3
"ЖК ""Светлый мир Станция Л""",,2,6,25,58.7,15079296,256887.0,2023-11-20,0,"Застройщик Seven Suns Development, CIAN ID 106096534",7,,-1
"Прокшино д., ЖК ""Прокшино""",,2,15,17,43.8,14400000,328767.0,2023-11-20,0,"Агентство Алисы Спиридоновой, Агент Андрей Григорьев, CIAN ID 87876912",69,,-1
"Новохохловская ул., 15к1",,1,19,33,34.5,13200000,382609.0,2023-11-20,0,"Агентство Владис, Агент Максим Морозов, CIAN ID 108111644",41,Калитники метро (МЦД-2),11
"Мосфильмовская ул., 70К7",,4,6,14,225.0,112500000,500000.0,2023-11-20,0,"Агентство Гарант, Агент Александр Понамарев, CIAN ID 76622841",80,,-1
"Дровяной Большой пер., 18",,3,2,4,150.1,74999900,499666.0,2023-11-20,0,"Агентство На Петровке, Агент Артём Крутушкин, CIAN ID 98455044",86,Таганская м.,7
"Льва Толстого ул., 23/7КЕ",,3,6,8,106.0,128790000,1215000.0,2023-11-20,0,"Агентство Premium Realty, Агент Анна Маруняк, CIAN ID 104658561",66,Парк культуры м.,12
"Перовское ш., 21С11",,2,29,37,58.9,15749810,267399.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 109092919",6,Нижегородская м.,14
"Кастанаевская ул., 5",,4,1,9,75.9,17500000,230567.0,2023-11-20,0,"Агент Валентина Романова, CIAN ID 7859724",34,Багратионовская м.,7
"ЖК ""Хедлайнер""",,2,37,51,84.1,38131830,453411.0,2023-11-20,0,"Представитель застройщика БСА, CIAN ID 92162803",33,Шелепиха м.,6
"Кольская ул., 8к2",,1,11,25,19.6,9500000,484694.0,2023-11-20,0,CIAN ID 18159668,35,Свиблово м.,9
"Строительный пр-д, 9С6",,1,20,44,28.0,15250000,544643.0,2023-11-20,0,"Агентство ФСК Агент, Агент Михаил Ткачев, CIAN ID 92487082",7,,-1
"Обручева ул., 1",,2,11,58,80.7,38669422,479175.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",51,Калужская м.,7
"Вересаева ул., 13",,3,2,17,162.0,48990000,302407.0,2023-11-20,0,"Агентство Вертикаль, Агент Геннадий Невзоров, CIAN ID 100367630",64,Давыдково м.,8
"ЖК ""Эвер""",,2,17,34,55.4,21982720,396800.0,2023-11-20,0,CIAN ID 39404589,7,Калужская м.,8
"ЖК ""Клубный город на реке Primavera (Примавера)""",,2,13,19,74.7,38231460,511800.0,2023-11-20,0,"Застройщик ООО ""СЗ ""Стадион ""Спартак"", CIAN ID 92807955",8,Спартак м.,13
"Ленинский просп., 111К1",,4,8,51,181.0,75000000,414365.0,2023-11-20,0,"Агентство Verges of estate, Агент Екатерина Валюжинич, CIAN ID 41818374",19,,-1
"Гражданская 3-я ул., 35к2",,1,6,19,39.2,13494811,344255.0,2023-11-20,0,"Консультант Циан, CIAN ID 52395145",17,,-1
"Филевская Большая ул., 23К3",,3,22,22,75.6,35000000,462963.0,2023-11-20,0,"Агентство Этажи Москва, Агент Дьячкова Лариса Валериевна, CIAN ID 61978566",6,,-1
"Пресненская наб., 8С1",,3,69,75,269.4,668427750,2481172.0,2023-11-20,0,"Агентство AEON CITY ESTATE, CIAN ID 268708",19,Деловой центр м.,2
"Лобачевского ул., 114с1",,3,25,26,95.0,42085000,443000.0,2023-11-20,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",6,,-1
"ЖК ""Level Южнопортовая""",,1,14,14,34.7,13631122,392828.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 89540106",73,Кожуховская м.,7
"Марушкинское поселение, ЖК ""Квартал Западный""",,2,1,6,32.9,8075384,245452.0,2023-11-20,0,"Застройщик Группа Самолет, CIAN ID 44992355",73,,-1
"Фрунзенская 3-я ул., 19",,3,6,9,74.0,73000000,986486.0,2023-11-20,0,"Агентство Intermark Real Estate - ранее Savills - городская недвижимость, Агент Виктория Малиновская, CIAN ID 54634549",7,Спортивная м.,8
"Задонский пр-д, 16К1",,3,2,12,62.7,14000000,223285.0,2023-11-20,0,CIAN ID 384931,34,Шипиловская м.,8
"ЖК ""Crystal (Кристал)""",,1,9,28,38.4,14515200,378000.0,2023-11-20,0,"Застройщик Концерн КРОСТ, CIAN ID 27248779",38,,-1
"Мичуринский просп., 56",,3,29,52,80.2,58000000,723192.0,2023-11-20,0,"Агентство СТРОЙРИЭЛТИ, CIAN ID 361855",51,Мичуринский проспект м.,8
"Можайское ш., 36",,3,7,25,94.0,41000000,436170.0,2023-11-20,0,"Собственник, CIAN ID 49196341",6,Кунцевская м.,13
"Ивана Франко ул., 6",,2,12,17,53.1,16750000,315443.0,2023-11-20,0,CIAN ID 16980863,12,Кунцевская м.,6
"Ленинградский просп., 36с39",,4,8,15,165.0,74700000,452727.0,2023-11-20,0,"Частный маклер Алексей Моисеев, CIAN ID 92354355",33,Петровский парк м.,5
"Красносельская Нижняя ул., 35С49",,3,9,9,170.0,84999000,499994.0,2023-11-20,0,"Агентство ИП Гудкова О. А., Агент Олеся Гудкова, CIAN ID 373187",22,Бауманская м.,6
"Ленинградский просп., 47С2",,1,4,4,17.8,9868000,554382.0,2023-11-20,0,"Агентство Владис, Агент Маргарита Шкляр, CIAN ID 77866200",99,Аэропорт м.,3
