addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url
"староалексеевская ул., 5а",жилой комплекс лайм корпус 1,3,12,27.0,125.6,38338000,305239.0,2023-11-08,0,"Застройщик ЭЗКС, CIAN ID 96917850",19,Северо-Восточный,Алексеевский,жилой комплекс лайм корпус 1,27.0,0.0,55.81171,37.64549,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Алексеевская,0.6,9.0,77:02:0023012:8419,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335207
"хорошевская 3-я ул., 17а","г. москва, ул. хорошевская 3-я, к. 19, стр. 1",3,19,21.0,82.7,32525910,393300.0,2023-11-08,0,"Консультант Циан, CIAN ID 52395145",11,Северо-Западный,Хорошево-Мневники,"г. москва, ул. хорошевская 3-я, к. 19, стр. 1",20.0,1.0,55.78468,37.49355,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Зорге,0.9,14.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=355511
"староалексеевская ул., 5а",жилой комплекс лайм корпус 1,3,9,27.0,129.3,41722100,322677.0,2023-11-08,0,"Застройщик ЭЗКС, CIAN ID 96917850",19,Северо-Восточный,Алексеевский,жилой комплекс лайм корпус 1,27.0,0.0,55.81171,37.64549,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Алексеевская,0.6,9.0,77:02:0023012:8419,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335207
"староалексеевская ул., 5а",жилой комплекс лайм корпус 1,3,7,27.0,91.6,32976000,360000.0,2023-11-08,0,"Застройщик ЭЗКС, CIAN ID 96917850",20,Северо-Восточный,Алексеевский,жилой комплекс лайм корпус 1,27.0,0.0,55.81171,37.64549,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Алексеевская,0.6,9.0,77:02:0023012:8419,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335207
"михалковская ул., 48с8",нет данных,3,8,20.0,83.3,24573500,295000.0,2023-11-08,0,"Застройщик РГ-Девелопмент, CIAN ID 34428593",7,Нет данных,Нет данных,нет данных,Нет данных,0.0,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,Нет данных,-1.0,-1.0,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
"кутузовский пр-д, 16а/1","г. москва, проезд. кутузовский, д. 16а/1",3,28,45.0,99.1,90168100,909870.0,2023-11-08,0,"Застройщик Аеон Девелопмент, CIAN ID 91647141",54,Западный,Дорогомилово,"г. москва, проезд. кутузовский, д. 16а/1",45.0,0.0,55.74508,37.52259,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Фили,0.5,8.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385781
"волгоградский просп., 32к5","г. москва, пр-кт. волгоградский, д. 32, к. 5",3,18,30.0,79.2,27181836,343205.0,2023-11-08,0,"Застройщик MR Group, CIAN ID 67819154",11,Юго-Восточный,Южнопортовый,"г. москва, пр-кт. волгоградский, д. 32, к. 5",30.0,0.0,55.72241999999999,37.69258,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Волгоградский Проспект,0.5,8.0,77:04:0001018:1199,7.70000000000013e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=84067
"мытная ул., 40к3","г. москва, ул. мытная, д. 40, к. 3",3,2,29.0,123.7,45066384,364320.0,2023-11-08,0,"Застройщик Capital Group, CIAN ID 90361681",37,Центральный,Якиманка,"г. москва, ул. мытная, д. 40, к. 3",29.0,0.0,55.72286,37.61465,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2017.0,-1.0,-1.0,Нет данных,Шаболовская,0.65,10.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=231983
"челябинская ул., 19к4","г. москва, ул. челябинская, д. 19, к. 4",3,1,16.0,74.6,15500000,207775.0,2023-11-08,0,"Агентство ЭМЕРКОМ-Недвижимость, CIAN ID 5813",91,Восточный,Ивановское,"г. москва, ул. челябинская, д. 19, к. 4",16.0,0.0,55.78024,37.828540000000004,железобетонные,Панельный,Крупнопанельные,муниципальный,411.0,1978.0,264.0,1.0,Исправный,Первомайская,2.5,38.0,77:03:0005024:1097,7.7000000000308e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=47522
"пролетарский просп., 7","г. москва, пр-кт. пролетарский, д. 7",3,7,23.0,116.0,33500000,288793.0,2023-11-08,0,"Собственник, CIAN ID 466030",11,Южный,Москворечье-Сабурово,"г. москва, пр-кт. пролетарский, д. 7",23.0,1.0,55.64592,37.65732,железобетонные,Монолитный,Железобетонные Монолитные,муниципальный,968.0,2005.0,300.0,2.0,Исправный,Кантемировская,1.15,17.0,77:05:0005005:1080,7.70000000002386e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=85375
"шипиловская ул., 23к2","г. москва, ул. шипиловская, д. 23, к. 2",3,2,9.0,68.1,15650000,229809.0,2023-11-08,0,"Агент Маргарита Коршенко, CIAN ID 106341915",17,Южный,Орехово-Борисово Северное,"г. москва, ул. шипиловская, д. 23, к. 2",9.0,0.0,55.62255,37.720040000000004,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,1203.0,1974.0,264.0,1.0,Исправный,Домодедовская,1.35,20.0,77:05:0011004:1059,7.70000000000529e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=72158
"беговая ул., 24","г. москва, ул. беговая, д. 24",3,5,6.0,64.0,21000000,328125.0,2023-11-08,0,CIAN ID 12347191,36,Северный,Беговой,"г. москва, ул. беговая, д. 24",6.0,0.0,55.78025,37.55944,Деревянные,Кирпичный,Кирпичные,муниципальный,296.0,1929.0,320.0,1.0,Исправный,Беговая,1.1,16.0,77:09:0005015:1035,7.70000000000826e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=42210
"тверская-ямская 1-я ул., 10","г. москва, ул. тверская-ямская 1-я, д. 10",3,8,8.0,97.0,49000000,505155.0,2023-11-08,0,"Агентство Homeapp, Агент Андрей Самылин, CIAN ID 100593651",62,Центральный,Тверской,"г. москва, ул. тверская-ямская 1-я, д. 10",8.0,0.0,55.77225,37.59282,железобетонные,Кирпичный,Кирпичные,муниципальный,88.0,1989.0,280.0,1.0,Исправный,Маяковская,0.3,5.0,77:01:0004011:1011,7.70000000002879e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=29352
"годовикова ул., 1к1","г. москва, ул. годовикова, д. 1, к. 1",3,4,8.0,53.6,20500000,382463.0,2023-11-08,0,"Агентство Владис, Агент Регина Искендерова, CIAN ID 102158246",100,Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 1, к. 1",8.0,0.0,55.80378,37.63021,Железобетонные,Кирпичный,Кирпичные,муниципальный,347.0,1960.0,270.0,1.0,Исправный,Алексеевская,0.75,11.0,77:02:0022014:1005,7.70000000001091e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=44381
"варшавское ш., 152к8","г. москва, ш. варшавское, д. 152, к. 8",3,2,17.0,77.2,18700000,242228.0,2023-11-08,0,"Агентство Владис, Агент Альбина Курепова, CIAN ID 98044908",27,Южный,Чертаново Южное,"г. москва, ш. варшавское, д. 152, к. 8",17.0,0.0,55.59016,37.59021,железобетонные,Панельный,Крупнопанельные,федеральный,925.0,1992.0,264.0,1.0,Исправный,Улица Академика Янгеля,0.95,14.0,77:05:0008007:1091,7.70000000000476e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=71661
"амбулаторный 1-й пр-д, 2","г. москва, проезд. амбулаторный 1-й, д. 2",3,8,9.0,57.0,17700000,310526.0,2023-11-08,0,"Частный маклер Эрна Аблязова, CIAN ID 28903751",52,Северный,Аэропорт,"г. москва, проезд. амбулаторный 1-й, д. 2",9.0,0.0,55.81168,37.53546,Железобетонные,Кирпичный,Кирпичные,муниципальный,-1.0,1967.0,264.0,1.0,Исправный,Красный Балтиец,0.7,10.0,77:09:0004003:1009,7.70000000000737e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=50960
"клязьминская ул., 9к2","г. москва, ул. клязьминская, д. 9, к. 2",3,14,16.0,76.3,17800000,233290.0,2023-11-08,0,"Агентство Владис, Агент Сергей Ерогин, CIAN ID 107839681",32,Северный,Дмитровский,"г. москва, ул. клязьминская, д. 9, к. 2",16.0,0.0,55.890269999999994,37.52369,Железобетонные,Панельный,Крупнопанельные,муниципальный,1103.0,1982.0,264.0,1.0,Исправный,Лианозово,1.7,26.0,77:09:0002013:1014,7.70000000001485e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=59782
"радиальная 6-я ул., 3к9","г. москва, ул. радиальная 6-я, д. 3, к. 9",3,6,11.0,97.0,20200000,208247.0,2023-11-08,0,"Агентство Владис, Агент Елена Машкова, CIAN ID 105528279",111,Южный,Бирюлево Восточное,"г. москва, ул. радиальная 6-я, д. 3, к. 9",11.0,0.0,55.60429,37.66399000000001,Железобетонные,Монолитный,Смешанные,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Царицыно,1.75,26.0,77:05:0000000:3077,7.70000000003801e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=211028
"годовикова ул., 11к5","г. москва, ул. годовикова, д. 11, к. 5",3,6,37.0,80.9,35843130,443055.0,2023-11-08,0,"Застройщик КОРТРОС, CIAN ID 88014230",7,Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 11, к. 5",32.0,1.0,55.81059000000001,37.62438,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Алексеевская,0.95,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=368940
"нахимовский просп., 61к1","г. москва, пр-кт. нахимовский, д. 61, к. 1",3,15,17.0,75.1,29500000,392810.0,2023-11-08,0,"Агентство ГОРОДА, Агент Мария Боровикова, CIAN ID 107186351",11,Юго-Западный,Черемушки,"г. москва, пр-кт. нахимовский, д. 61, к. 1",17.0,0.0,55.678580000000004,37.55901,железобетонные,Панельный,Крупнопанельные,муниципальный,255.0,2003.0,264.0,1.0,Исправный,Профсоюзная,0.25,4.0,77:06:0003009:1092,7.70000000001967e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=70466
"текстильщиков 11-я ул., 9","г. москва, ул. текстильщиков 11-я, д. 9",3,2,14.0,81.0,17200000,212346.0,2023-11-08,0,"Частный маклер Артур Попов, CIAN ID 111070",34,Юго-Восточный,Текстильщики,"г. москва, ул. текстильщиков 11-я, д. 9",14.0,0.0,55.70724000000001,37.74159,железобетонные,Панельный,Крупнопанельные,ЧФ  - частный фонд,408.0,1995.0,264.0,2.0,Исправный,Текстильщики,0.7,10.0,77:04:0004001:1069,7.70000000000222e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=74613
"широкая ул., 1к2","г. москва, ул. широкая, д. 1, к. 2",3,8,9.0,55.5,15300000,275676.0,2023-11-08,0,CIAN ID 75171802,51,Северо-Восточный,Медведково Северное,"г. москва, ул. широкая, д. 1, к. 2",9.0,0.0,55.88971,37.65267,Железобетонные,Панельный,Крупнопанельные,муниципальный,606.0,1968.0,264.0,-1.0,Исправный,Медведково,0.65,10.0,77:02:0004001:1040,7.70000000003148e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=61105
"братиславская ул., 19к1","г. москва, ул. братиславская, д. 19, к. 1",3,4,17.0,74.5,17500000,234899.0,2023-11-08,0,"Агентство Этажи Москва, Агент Костина Алёна, CIAN ID 75328298",14,Юго-Восточный,Марьино,"г. москва, ул. братиславская, д. 19, к. 1",17.0,0.0,55.65809,37.76123,Железобетонные,Панельный,Крупнопанельные,муниципальный,718.0,1998.0,264.0,1.0,Исправный,Братиславская,0.75,11.0,77:04:0004024:1043,7.70000000007083e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=95998
"ляпидевского ул., 8к2","г. москва, ул. ляпидевского, д. 8, к. 2",3,4,9.0,61.0,14200000,232787.0,2023-11-08,0,"Агентство OPN PARTNER, Агент Иван Григорьев, CIAN ID 66268634",42,Северный,Ховрино,"г. москва, ул. ляпидевского, д. 8, к. 2",9.0,0.0,55.856609999999996,37.49906,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,339.0,1967.0,264.0,1.0,Исправный,Речной Вокзал,1.5,22.0,77:09:0001013:1018,7.70000000001759e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=55777
"академика пилюгина ул., 14к2","г. москва, ул. академика пилюгина, д. 14, к. 2",3,9,18.0,103.6,34000000,328185.0,2023-11-08,0,"Агент Анатолий Чапыркин, CIAN ID 102192473",65,Юго-Западный,Ломоносовский,"г. москва, ул. академика пилюгина, д. 14, к. 2",18.0,0.0,55.67095,37.53585,железобетонные,Панельный,Крупнопанельные,муниципальный,1757.0,1987.0,266.0,2.0,Исправный,Новаторская,0.8,12.0,77:06:0003010:1008,7.7000000000228e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=70383
"маршала тухачевского ул., 42к3","г. москва, ул. маршала тухачевского, д. 42, к. 3",3,10,12.0,60.5,19500000,322314.0,2023-11-08,0,"Частный маклер Татьяна Ивашнева, CIAN ID 228901",13,Северо-Западный,Хорошево-Мневники,"г. москва, ул. маршала тухачевского, д. 42, к. 3",12.0,0.0,55.78665,37.47007,железобетонные,Панельный,Крупноблочные,муниципальный,466.0,1975.0,248.0,1.0,Исправный,Народное Ополчение,1.6,24.0,77:08:0010003:1038,7.7000000000295e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=41034
"академика анохина ул., 4к1","г. москва, ул. академика анохина, д. 4, к. 1",3,9,21.0,102.5,37790000,368683.0,2023-11-08,0,"Агентство Isaev Estate, Агент Елена Антимоний, CIAN ID 82028361",8,Западный,Тропарево-Никулино,"г. москва, ул. академика анохина, д. 4, к. 1",21.0,0.0,55.66969,37.47395,железобетонные,Монолитный,Крупнопанельные,муниципальный,586.0,2004.0,310.0,1.0,Исправный,Юго-Западная,0.9,14.0,77:07:0014005:1023,7.70000000000754e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=75575
"веерная ул., 26к1","г. москва, ул. веерная, д. 26, к. 1",3,2,16.0,65.0,15900000,244615.0,2023-11-08,0,CIAN ID 176308,10,Западный,Очаково-Матвеевское,"г. москва, ул. веерная, д. 26, к. 1",16.0,0.0,55.71053000000001,37.482820000000004,железобетонные,Панельный,Крупноблочные,муниципальный,253.0,1975.0,248.0,1.0,Исправный,Матвеевская,0.65,10.0,77:07:0012011:1040,7.70000000000944e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=19232
"шенкурский пр-д, 8","г. москва, проезд. шенкурский, д. 8",3,9,12.0,64.0,15000000,234375.0,2023-11-08,0,"Собственник, CIAN ID 105370982",12,Северо-Восточный,Бибирево,"г. москва, проезд. шенкурский, д. 8",12.0,0.0,55.89431,37.59129,Железобетонные,Панельный,Крупнопанельные,муниципальный,1082.0,1974.0,264.0,2.0,Исправный,Алтуфьево,0.55,8.0,77:02:0002010:1029,7.70000000003141e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=60433
"щербаковская ул., 32/7","г. москва, ул. щербаковская, д. 32/7",3,7,12.0,70.8,18100000,255650.0,2023-11-08,0,"Агентство Этажи Москва, Агент Охапкин Александр Валерьевич, CIAN ID 108761925",7,Восточный,Соколиная Гора,"г. москва, ул. щербаковская, д. 32/7",12.0,0.0,55.782090000000004,37.72918,железобетонные,Кирпичный,Кирпичные,муниципальный,846.0,1965.0,270.0,2.0,Исправный,Семеновская,0.7,11.0,77:03:0004002:1040,7.70000000003172e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=46560
"ленинский просп., 127","г. москва, пр-кт. ленинский, д. 127",3,8,17.0,78.0,24700000,316667.0,2023-11-08,0,"Агентство СДЕЛКА, Игорь Отдел продаж, CIAN ID 72160727",19,Юго-Западный,Теплый Стан,"г. москва, пр-кт. ленинский, д. 127",17.0,0.0,55.64591,37.47701,железобетонные,Панельный,Крупнопанельные,муниципальный,1296.0,2002.0,264.0,1.0,Исправный,Тропарево,0.3,5.0,77:06:0007001:1032,7.70000000001689e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=77908
"хавская ул., 3","г. москва, ул. хавская, д. 3",3,2,10.0,78.0,19997770,256382.0,2023-11-08,0,CIAN ID 37262563,63,Южный,Даниловский,"г. москва, ул. хавская, д. 3",9.0,0.0,55.7193,37.61404,деревянные,Кирпичный,Кирпичные,муниципальный,645.0,1938.0,300.0,1.0,Исправный,Шаболовская,0.45,7.0,77:05:0001006:1073,7.70000000003013e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=20918
"красных зорь ул., 59б","г. москва, ул. красных зорь, д. 59б",3,5,20.0,78.0,23999000,307679.0,2023-11-08,0,"Агентство СДЕЛКА, Отдел продаж, CIAN ID 80224567",65,Западный,Можайский,"г. москва, ул. красных зорь, д. 59б",20.0,0.0,55.72588,37.43039,Нет данных,Нет данных,Из мелких бетонных блоков,Нет данных,-1.0,2016.0,280.0,-1.0,Исправный,Рабочий Посёлок,0.85,13.0,77:07:0008003:11353,7.70000000001601e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=326675
"дубининская ул., 59к5","г. москва, ул. дубининская, д. 59, к. 5",3,9,46.0,77.0,37500000,487013.0,2023-11-08,0,"Агентство БЕСТ-Недвижимость на Баррикадной, Агент Максим Сергеев, CIAN ID 95467791",11,Южный,Даниловский,"г. москва, ул. дубининская, д. 59, к. 5",9.0,0.0,55.71788000000001,37.63664,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Серпуховская,1.25,19.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=354966
"академика варги ул., 2","г. москва, ул. академика варги, д. 2",3,7,9.0,67.0,13699000,204463.0,2023-11-08,0,"Агентство Capital Mars, CIAN ID 75691676",28,Юго-Западный,Теплый Стан,"г. москва, ул. академика варги, д. 2",9.0,0.0,55.63242,37.47806,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,1369.0,1974.0,264.0,1.0,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:06:0007007:1000,7.70000000000931e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=9281
"пироговская большая ул., 37-43кб","г. москва, ул. пироговская б., д. 37-43, к. б",3,4,7.0,75.0,33000000,440000.0,2023-11-08,0,"Агентство Monumental Group, Агент Алмаз Халиулин, CIAN ID 91327811",98,Центральный,Хамовники,"г. москва, ул. пироговская б., д. 37-43, к. б",7.0,0.0,55.72841999999999,37.56504,Смешанные,Кирпичный,Кирпичные,муниципальный,171.0,1935.0,-1.0,1.0,Исправный,Спортивная,0.6,9.0,77:01:0005008:1055,7.70000000002286e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=186769
"лобачевского ул., 124к2","г. москва, ул. лобачевского, д. 124, к. 2",3,24,38.0,75.4,38700000,513263.0,2023-11-08,0,"Агентство Риэлти-Город, CIAN ID 552727",50,Западный,Раменки,"г. москва, ул. лобачевского, д. 124, к. 2",38.0,0.0,55.69812,37.47438,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Аминьевская,0.6,9.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335448
"новослободская ул., 50/1с2","г. москва, ул. новослободская, д. 50/1, стр. 2",3,6,10.0,89.6,34000000,379464.0,2023-11-08,0,"Агентство МИЭЛЬ, МИЭЛЬ Офис Сущевский Отдел продаж 4, CIAN ID 108412806",35,Центральный,Тверской,"г. москва, ул. новослободская, д. 50/1, стр. 2",10.0,0.0,55.7872,37.59419000000001,Железобетонные,Кирпичный,Кирпичные,Нет данных,376.0,1954.0,300.0,2.0,Исправный,Менделеевская,0.7,10.0,77:01:0004007:1083,7.70000000000533e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=45056
"болотниковская ул., 30к2","г. москва, ул. болотниковская, д. 30, к. 2",3,1,21.0,73.2,21000000,286885.0,2023-11-08,0,"Агент Егор Павлов, CIAN ID 13329353",39,Юго-Западный,Зюзино,"г. москва, ул. болотниковская, д. 30, к. 2",19.0,0.0,55.65934,37.59613,железобетонные,Панельный,Крупнопанельные,муниципальный,351.0,2015.0,278.0,2.0,Исправный,Нахимовский Проспект,0.75,11.0,77:06:0005006:5511,7.7000000000088e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=94815
